system:index,count,label,.geo
+1219+243,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.68468422886295,15.311784017817244]}"
+1220+184,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.74756629875132,11.60174189440362]}"
+1220+235,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.74756629875132,14.808727458710312]}"
+1220+240,5,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.72241347079597,15.047679324286106]}"
+1222+176,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.87333043852806,11.098685335296688]}"
+1224+218,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9676535433606,13.739732270608082]}"
+1227+157,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1562997530257,9.872484972473542]}"
+1227+252,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.18774078796989,15.877722646812542]}"
+1228+221,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.25062285785825,13.92837848027318]}"
+1228+250,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.25062285785825,15.751958507035809]}"
+1228+265,21,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38537015047618,16.563436647023778]}"
+1229+457,65,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.40057240913052,28.50831194623582]}"
+1232+240,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50215113741172,15.123137808152144]}"
+1233+256,7,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5470669016177,16.057385703636445]}"
+1234+228,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.59647424224427,14.368552969491747]}"
+1236+245,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.75367941696518,15.437548157593977]}"
+1236+261,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.75367941696518,16.44366127580784]}"
+1239+188,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.9108845916861,11.821829139012904]}"
+1239+241,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.94232562663028,15.186019878040511]}"
+1242+169,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.13097183629539,10.658510846078123]}"
+1245+189,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.31961804596048,11.916152243845453]}"
+1245+191,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.31961804596048,12.041916383622185]}"
+1245+261,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.31961804596048,16.412220240863657]}"
+1246+282,8,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.42180140952908,17.63056034495076]}"
+1246+456,15,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.5962991534693,28.550555798314672]}"
+1248+274,4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.52398477309767,17.182525596996147]}"
+1249+164,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.57114632551395,10.34410049663629]}"
+1252+282,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.75979253517905,17.764184743463538]}"
+1254+432,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.88555667495578,27.196495226718515]}"
+1254+455,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.90651736491856,28.600861454225363]}"
+1255+201,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.94843874484414,12.67073708250585]}"
+1255+249,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.94843874484414,15.65763540220326]}"
+1256+442,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.01132081473251,27.793874890657996]}"
+1256+449,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.01132081473251,28.23404937987656]}"
+1257+161,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.03228150469529,10.134493597008401]}"
+1257+460,10,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.02389722871018,28.85029366478255]}"
+1259+441,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.16852598945343,27.762433855713812]}"
+1262+429,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.38861323406272,27.007849017053413]}"
+1262+457,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.38861323406272,28.768546973927677]}"
+1263+427,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.45149530395108,26.882084877276682]}"
+1263+452,8,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.43577478647899,28.375534037125384]}"
+1265+430,9,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.62616772030765,26.951953843819307]}"
+1267+439,4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.68730306603246,27.589508163520804]}"
+1267+451,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.70302358350455,28.391254554597477]}"
+1268+215,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.73446461844873,13.551086060942982]}"
+1268+447,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.7659056533929,28.139726275044012]}"
+1270+429,71,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.3079313825715,26.4835365469983]}"
+1270+449,9,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.94756496640375,28.139726275044012]}"
+1271+202,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.95455186305801,12.733619152394217]}"
+1271+298,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.92311082811382,18.770297861677403]}"
+1273+430,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.08031600283475,27.07073108694178]}"
+1274+297,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.14319807272311,18.707415791789035]}"
+1274+427,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.14319807272311,26.882084877276682]}"
+1278+426,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.3632853173324,26.819202807388315]}"
+1279+264,7,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.3408274352294,16.61434117979055]}"
+1279+292,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.45760842216494,18.393005442347203]}"
+1280+429,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.52049049205331,27.007849017053413]}"
+1281+290,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.60433325190446,18.22531992264489]}"
+1283+257,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.7091367017184,16.192132996254376]}"
+1289+428,28,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.9112576406453,26.80572807812652]}"
+1300+360,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.77813188982064,22.668986194756126]}"
+1301+267,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.841013959709,16.82095369513804]}"
+1302+399,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.87245499465318,25.12138692040242]}"
+1303+431,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.96677809948574,27.133613156830148]}"
+1304+265,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.02966016937411,16.695189555361306]}"
+1304+399,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.02966016937411,25.12138692040242]}"
+1304+403,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.91437637457877,25.362434854974488]}"
+1306+399,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.15542430915083,25.089945885458235]}"
+1306+426,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.09254223926247,26.819202807388315]}"
+1315+279,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.72136293814614,17.575538533798436]}"
+1315+284,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.70040224818335,17.827066813351905]}"
+1318+292,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.91000914781124,18.393005442347203]}"
+1319+286,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.91000914781124,17.973791643091424]}"
+1323+363,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.18249811732748,22.836671714458436]}"
+1323+403,4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.1615374273647,25.3414741650117]}"
+1323+405,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.19297846230889,25.498679339732618]}"
+1324+299,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.28730156714144,18.83317993156577]}"
+1325+401,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3501836370298,25.247151060179153]}"
+1334+302,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.9161222660251,19.021826141230868]}"
+1340+298,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.2934146853553,18.770297861677403]}"
+1340+397,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.2934146853553,24.9641817456815]}"
+1342+301,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.41917882513204,18.927503036398317]}"
+1342+309,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.41917882513204,19.462000630449435]}"
+1343+402,5,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.50721372297575,25.23457464620148]}"
+1345+403,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.60782503479713,25.372915199955884]}"
+1347+403,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.73358917457386,25.372915199955884]}"
+1348+306,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.73358917457386,19.273354420784333]}"
+1351+313,5,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.95996462617198,19.63807042613686]}"
+1351+335,10,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.02913490304918,21.00889954970325]}"
+1353+324,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.07944055895987,20.405231678774932]}"
+1353+327,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.11088159390407,20.59387788844003]}"
+1354+316,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.17376366379243,19.902175119667998]}"
+1355+407,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.2366457336808,25.60348278954656]}"
+1356+318,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.29952780356916,20.027939259444732]}"
+1359+321,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.45673297829008,20.21658546910983]}"
+1360+317,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.51961504817845,19.965057189556365]}"
+1363+405,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.73970229278773,25.498679339732618]}"
+1367+327,29,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.82643618228893,20.21658546910983]}"
+1369+324,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.07507333219235,20.384270988812144]}"
+1373+342,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.3685229916714,21.537108936765527]}"
+1374+401,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.43140506155976,25.247151060179153]}"
+1374+403,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.39996402661558,25.372915199955884]}"
+1377+346,5,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.56974561531418,21.72575514643063]}"
+1380+327,24,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.53620851137372,20.455013317436556]}"
+1383+353,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.92398127568529,22.20785101557477]}"
+1386+349,119,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.66972282222912,21.267614351529673]}"
+1389+357,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.37463610988526,22.480339985091025]}"
+1391+358,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.500400249662,22.543222054979392]}"
+1392+370,5,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.56328231955035,23.234924823751424]}"
+1394+346,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.71000714928988,21.746715836393413]}"
+1397+349,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.8567319790294,21.935362046058515]}"
+1405+358,27,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.40636784916475,22.205522050023347]}"
+1412+353,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,22.22881170553756]}"
+1436+415,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.2986523596943,26.127500038616283]}"
+1477+418,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.90825826006152,26.31614624828138]}"
+1516+434,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.32921795076362,27.290818331551062]}"
